feat_list,hyper_param,fold,avg,std
0,1,3,333.02277549241836,168.33496905073721
0,1,5,259.618070254655,113.74713746743926
0,1,7,304.4199811992522,226.27508552533388
0,1,9,253.14400833564767,124.0587973235803
0,1,11,242.3452495187604,138.35749278754184
0,1,13,239.25352219784733,143.65119157590397
0,1,15,239.18524496012796,143.02244674916253
0,1,17,230.95336853567167,157.9720792939977
0,1,19,233.52768902317143,152.3595758843084
0,1,21,224.17441170515698,165.81491455827415
0,2,3,323.24011816032515,149.03164424413336
0,2,5,283.0235120515422,159.2662052989886
0,2,7,280.62142566923256,212.35137344418519
0,2,9,271.936823361441,179.2582661294491
0,2,11,262.56368440650755,189.87735179397558
0,2,13,252.3764073033741,203.4409078561845
0,2,15,254.01024269843262,202.65271509501403
0,2,17,238.6041492208383,218.94201310402207
0,2,19,240.26089728136077,217.13495675226773
0,2,21,230.79574402201055,226.9720346247308
0,3,3,337.5269011446211,179.38083629397744
0,3,5,296.4720283258712,153.29214389959895
0,3,7,290.0598146320387,222.0546797971886
0,3,9,274.7129970769815,180.57416936091957
0,3,11,268.7135123688597,192.4377622129456
0,3,13,260.67461539947857,202.71235716782755
0,3,15,260.459895950089,203.6215829118441
0,3,17,245.0520091015882,220.05844467528064
0,3,19,246.60927606662662,218.60567233514834
0,3,21,237.23301346356743,228.32119824268807
0,4,3,335.58545209240225,190.22162745961623
0,4,5,298.253053071166,170.14548155827137
0,4,7,297.0665369180152,245.27844116272024
0,4,9,283.8354796063424,196.90765191821842
0,4,11,273.8596222544629,207.91989841036258
0,4,13,265.2233909232313,220.29306331671384
0,4,15,262.11984884407866,221.50039153246806
0,4,17,245.93898125022443,238.42032814908924
0,4,19,246.57020685676275,237.478169833689
0,4,21,238.56307207559317,246.00341315312932
0,5,3,337.0582062570348,191.83528287587342
0,5,5,307.26975235485185,190.96015543025342
0,5,7,291.9593945099939,265.01714770523483
0,5,9,288.80503023036636,221.30473113068027
0,5,11,279.01830108118185,232.51668249453752
0,5,13,269.6011882254205,244.47888952700728
